,Northeast,South,West,YearMade,MachineHoursCurrentMeter,fiProductClassDesc,SalePrice
0,1,0,0,2001,2838.0,5.0,10000
1,0,1,0,2001,3486.0,9.0,38500
2,1,0,0,2007,722.0,6.0,11000
3,0,0,1,2004,508.0,2.0,26500
4,0,1,0,1993,11540.0,13.0,21000
5,0,0,0,2001,4883.0,2.0,27000
6,0,1,0,2008,302.0,3.0,21500
7,0,0,1,2004,1414.0,2.0,24000
8,0,0,0,1998,2764.0,1.0,22500
9,0,1,0,2001,1921.0,2.0,30500
10,0,1,0,2004,320.0,2.0,28000
11,0,1,0,1999,2450.0,2.0,19000
12,0,1,0,1999,1972.0,3.0,13500
13,0,1,0,2001,994.0,2.0,12500
14,0,0,0,1991,8005.0,2.0,11500
15,0,0,0,2000,3259.0,14.0,41000
16,0,0,0,2005,109.0,2.0,26000
17,1,0,0,1996,17033.0,12.0,73000
18,0,1,0,2001,1877.0,2.0,33000
19,1,0,0,2003,1028.0,5.0,12500
20,0,0,1,2003,356.0,2.0,15500
21,0,1,0,2004,904.0,1.0,46000
22,0,0,0,1998,10466.0,17.0,89000
23,1,0,0,1999,15633.0,16.0,51000
24,0,0,1,2001,2097.0,8.0,14000
25,0,1,0,1995,7542.0,8.0,31500
26,0,1,0,2004,587.0,3.0,18500
27,0,1,0,2001,765.0,3.0,20500
28,0,1,0,2006,1125.0,6.0,39000
29,0,1,0,2001,2425.0,13.0,58000
30,0,0,1,1996,5396.0,3.0,15500
31,0,1,0,2001,678.0,2.0,7750
32,0,0,1,2000,3817.0,7.0,32000
33,0,1,0,2003,1788.0,7.0,11500
34,0,0,1,1996,8270.0,4.0,75000
35,0,1,0,2001,2128.0,4.0,5500
36,0,0,0,2003,1457.0,4.0,28500
37,0,0,0,1998,764.0,1.0,35500
38,0,1,0,2002,2026.0,6.0,11500
39,0,1,0,2003,5383.0,9.0,35500
40,0,0,1,1998,3186.0,1.0,30000
41,0,0,1,2002,4032.0,11.0,33000
42,0,0,0,2001,3576.0,4.0,9500
43,0,1,0,2005,1290.0,1.0,8500
44,0,0,0,2005,1498.0,4.0,19000
45,0,1,0,2006,11121.0,8.0,37000
46,0,1,0,2001,9052.0,8.0,51000
47,0,1,0,1998,9987.0,2.0,23000
48,0,0,0,2000,1894.0,3.0,30500
49,0,1,0,2006,649.0,8.0,12000
50,0,1,0,2005,2032.0,2.0,29000
51,0,0,1,1998,8175.0,17.0,102000
52,0,0,0,2002,8421.0,10.0,35000
53,0,1,0,1999,2413.0,2.0,33500
54,1,0,0,1998,4723.0,10.0,53000
55,0,0,0,1998,3032.0,3.0,30000
56,0,0,1,2005,3511.0,10.0,39000
57,0,0,0,2006,242.0,7.0,15000
58,0,1,0,2006,953.0,11.0,70000
59,0,0,1,1999,1971.0,7.0,7500
60,0,0,1,2004,2565.0,5.0,13000
61,0,0,0,2001,5646.0,9.0,44000
62,0,1,0,2002,7793.0,3.0,26000
63,0,0,1,2005,8281.0,12.0,67000
64,0,1,0,2002,1268.0,2.0,33000
65,0,1,0,2006,701.0,6.0,12000
66,0,0,0,1998,4841.0,13.0,52000
67,0,1,0,2003,761.0,1.0,33000
68,0,1,0,1998,7345.0,5.0,50000
69,0,1,0,1996,24794.0,15.0,36000
70,0,0,1,1995,244.0,4.0,21000
71,0,0,1,1998,6718.0,2.0,25000
72,0,0,1,1996,1056.0,4.0,25500
73,0,0,0,2001,350.0,6.0,17500
74,0,1,0,2002,5516.0,4.0,64000
75,0,1,0,2000,2842.0,1.0,27000
76,0,0,0,2000,1231.0,8.0,12000
77,0,0,0,2004,1085.0,8.0,16000
78,0,1,0,2004,1976.0,8.0,66000
79,1,0,0,2000,210.0,8.0,19500
80,0,1,0,1995,4218.0,13.0,42000
81,1,0,0,1996,13582.0,17.0,32000
82,0,1,0,1998,2877.0,2.0,16000
83,0,1,0,2005,2804.0,2.0,8500
84,0,1,0,1992,203.0,8.0,15500
85,0,1,0,1995,2347.0,6.0,83000
86,0,1,0,2002,1502.0,3.0,11500
87,0,1,0,1998,5126.0,2.0,29500
88,0,0,1,2005,3724.0,13.0,45000
89,0,0,1,2000,659.0,2.0,15500
90,1,0,0,1993,7339.0,2.0,18000
91,0,0,0,2004,2388.0,11.0,65000
92,0,1,0,2008,22.0,1.0,9700
93,0,0,1,2004,3182.0,3.0,25500
