,Northeast,South,West,SalesID,ProductGroup_BL,ProductGroup_MG,ProductGroup_SSL,ProductGroup_TEX,ProductGroup_TTT,ProductGroup_WL,SalePrice,YearMade,MachineHoursCurrentMeter
0,1,0,0,1139249,0,0,1,0,0,0,10000,2001,2838.0
1,0,1,0,1139251,0,0,0,1,0,0,38500,2001,3486.0
2,1,0,0,1139253,0,0,1,0,0,0,11000,2007,722.0
3,0,0,1,1139255,1,0,0,0,0,0,26500,2004,508.0
4,0,1,0,1139256,0,0,0,1,0,0,21000,1993,11540.0
5,0,0,0,1139261,1,0,0,0,0,0,27000,2001,4883.0
6,0,1,0,1139272,0,0,0,1,0,0,21500,2008,302.0
7,0,0,1,1139278,1,0,0,0,0,0,24000,2004,1414.0
8,0,0,0,1139282,0,0,0,0,1,0,22500,1998,2764.0
9,0,1,0,1139284,1,0,0,0,0,0,30500,2001,1921.0
10,0,1,0,1139290,1,0,0,0,0,0,28000,2004,320.0
11,0,1,0,1139291,1,0,0,0,0,0,19000,1999,2450.0
12,0,1,0,1139292,0,0,0,1,0,0,13500,1999,1972.0
13,0,1,0,1139301,0,0,0,1,0,0,12500,2001,994.0
14,0,0,0,1139304,1,0,0,0,0,0,11500,1991,8005.0
15,0,0,0,1139311,0,0,0,1,0,0,41000,2000,3259.0
16,0,0,0,1139344,0,0,0,1,0,0,26000,2005,109.0
17,1,0,0,1139346,0,0,0,0,0,1,73000,1996,17033.0
18,0,1,0,1139348,1,0,0,0,0,0,33000,2001,1877.0
19,1,0,0,1139351,0,0,1,0,0,0,12500,2003,1028.0
20,0,0,1,1139354,0,0,0,1,0,0,15500,2003,356.0
21,0,1,0,1139357,0,1,0,0,0,0,46000,2004,904.0
22,0,0,0,1139358,0,0,0,1,0,0,89000,1998,10466.0
23,1,0,0,1139363,0,0,0,1,0,0,51000,1999,15633.0
24,0,0,1,1139365,0,0,1,0,0,0,14000,2001,2097.0
25,0,1,0,1139367,0,0,0,0,0,1,31500,1995,7542.0
26,0,1,0,1139379,0,0,0,1,0,0,18500,2004,587.0
27,0,1,0,1139398,0,0,0,1,0,0,20500,2001,765.0
28,0,1,0,1139412,0,0,0,1,0,0,39000,2006,1125.0
29,0,1,0,1139413,0,0,0,1,0,0,58000,2001,2425.0
30,0,0,1,1139415,0,0,0,0,0,1,15500,1996,5396.0
31,0,1,0,1139418,0,0,1,0,0,0,7750,2001,678.0
32,0,0,1,1139421,0,0,0,1,0,0,32000,2000,3817.0
33,0,1,0,1139423,0,0,1,0,0,0,11500,2003,1788.0
34,0,0,1,1139426,0,1,0,0,0,0,75000,1996,8270.0
35,0,1,0,1139429,0,0,1,0,0,0,5500,2001,2128.0
36,0,0,0,1139432,0,0,0,1,0,0,28500,2003,1457.0
37,0,0,0,1139445,0,0,0,0,1,0,35500,1998,764.0
38,0,1,0,1139449,0,0,1,0,0,0,11500,2002,2026.0
39,0,1,0,1139450,0,0,0,1,0,0,35500,2003,5383.0
40,0,0,1,1139451,0,0,0,0,1,0,30000,1998,3186.0
41,0,0,1,1139456,0,0,0,1,0,0,33000,2002,4032.0
42,0,0,0,1139457,0,0,0,1,0,0,9500,2001,3576.0
43,0,1,0,1139459,0,0,0,1,0,0,8500,2005,1290.0
44,0,0,0,1139461,0,0,0,1,0,0,19000,2005,1498.0
45,0,1,0,1139463,0,0,0,0,0,1,37000,2006,11121.0
46,0,1,0,1139464,0,0,0,0,0,1,51000,2001,9052.0
47,0,1,0,1139469,1,0,0,0,0,0,23000,1998,9987.0
48,0,0,0,1139473,1,0,0,0,0,0,30500,2000,1894.0
49,0,1,0,1139479,0,0,1,0,0,0,12000,2006,649.0
50,0,1,0,1139481,1,0,0,0,0,0,29000,2005,2032.0
51,0,0,1,1139482,0,0,0,1,0,0,102000,1998,8175.0
52,0,0,0,1139484,0,0,0,0,0,1,35000,2002,8421.0
53,0,1,0,1139487,0,0,0,0,1,0,33500,1999,2413.0
54,1,0,0,1139488,0,0,0,1,0,0,53000,1998,4723.0
55,0,0,0,1139489,0,0,0,0,1,0,30000,1998,3032.0
56,0,0,1,1139490,0,0,0,1,0,0,39000,2005,3511.0
57,0,0,0,1139493,0,0,1,0,0,0,15000,2006,242.0
58,0,1,0,1139496,0,0,0,1,0,0,70000,2006,953.0
59,0,0,1,1139501,0,0,1,0,0,0,7500,1999,1971.0
60,0,0,1,1139502,0,0,1,0,0,0,13000,2004,2565.0
61,0,0,0,1139508,0,0,0,1,0,0,44000,2001,5646.0
62,0,1,0,1139512,0,0,0,0,1,0,26000,2002,7793.0
63,0,0,1,1139513,0,0,0,0,0,1,67000,2005,8281.0
64,0,1,0,1139515,1,0,0,0,0,0,33000,2002,1268.0
65,0,1,0,1139518,0,0,1,0,0,0,12000,2006,701.0
66,0,0,0,1139519,0,0,0,1,0,0,52000,1998,4841.0
67,0,1,0,1139526,0,0,0,0,1,0,33000,2003,761.0
68,0,1,0,1139528,0,0,0,0,1,0,50000,1998,7345.0
69,0,1,0,1139532,0,0,0,0,0,1,36000,1996,24794.0
70,0,0,1,1139539,1,0,0,0,0,0,21000,1995,244.0
71,0,0,1,1139540,1,0,0,0,0,0,25000,1998,6718.0
72,0,0,1,1139543,1,0,0,0,0,0,25500,1996,1056.0
73,0,0,0,1139545,0,0,1,0,0,0,17500,2001,350.0
74,0,1,0,1139546,0,0,0,0,1,0,64000,2002,5516.0
75,0,1,0,1139550,0,0,0,0,1,0,27000,2000,2842.0
76,0,0,0,1139555,0,0,1,0,0,0,12000,2000,1231.0
77,0,0,0,1139556,0,0,1,0,0,0,16000,2004,1085.0
78,0,1,0,1139558,0,0,0,0,0,1,66000,2004,1976.0
79,1,0,0,1139564,0,0,1,0,0,0,19500,2000,210.0
80,0,1,0,1139567,0,0,0,1,0,0,42000,1995,4218.0
81,1,0,0,1139568,0,0,0,1,0,0,32000,1996,13582.0
82,0,1,0,1139572,1,0,0,0,0,0,16000,1998,2877.0
83,0,1,0,1139575,0,0,0,1,0,0,8500,2005,2804.0
84,0,1,0,1139579,0,0,0,0,0,1,15500,1992,203.0
85,0,1,0,1139583,0,0,0,0,1,0,83000,1995,2347.0
86,0,1,0,1139589,0,0,0,1,0,0,11500,2002,1502.0
87,0,1,0,1139592,1,0,0,0,0,0,29500,1998,5126.0
88,0,0,1,1139594,0,0,0,1,0,0,45000,2005,3724.0
89,0,0,1,1139595,1,0,0,0,0,0,15500,2000,659.0
90,1,0,0,1139598,1,0,0,0,0,0,18000,1993,7339.0
91,0,0,0,1139622,0,0,0,1,0,0,65000,2004,2388.0
92,0,1,0,1139623,1,0,0,0,0,0,9700,2008,22.0
93,0,0,1,1139629,1,0,0,0,0,0,25500,2004,3182.0
94,0,1,0,1139635,0,0,1,0,0,0,10500,2006,917.0
95,0,0,0,1139645,0,0,0,1,0,0,24500,2005,1045.0
96,0,1,0,1139647,0,0,0,1,0,0,44000,2005,4725.0
97,0,1,0,1139651,0,0,0,0,1,0,39000,2006,6484.0
98,0,0,1,1139652,0,1,0,0,0,0,60000,1988,6386.0
99,1,0,0,1139658,1,0,0,0,0,0,25500,2000,2083.0
100,0,1,0,1139660,1,0,0,0,0,0,27000,2005,1776.0
101,1,0,0,1139663,0,0,0,0,1,0,27000,2002,1656.0
102,0,1,0,1139666,1,0,0,0,0,0,20000,1997,5598.0
103,0,1,0,1139680,0,0,0,0,0,1,9500,2002,3484.0
104,0,1,0,1139681,0,0,0,1,0,0,14500,2005,1526.0
105,0,0,1,1139683,0,0,1,0,0,0,10500,2004,2260.0
106,0,1,0,1139688,0,0,0,0,1,0,54000,2004,1897.0
107,0,1,0,1139692,0,0,0,0,0,1,46000,2000,2364.0
108,0,1,0,1139706,0,0,0,0,0,1,16000,1971,804.0
109,0,1,0,1139707,1,0,0,0,0,0,28000,2002,3001.0
110,0,0,1,1139712,0,0,0,1,0,0,22000,2000,7862.0
111,0,1,0,1139713,0,1,0,0,0,0,40000,1978,3276.0
112,0,1,0,1139715,0,0,0,1,0,0,16000,2000,8904.0
113,1,0,0,1139718,0,0,0,1,0,0,19500,1996,6576.0
114,0,1,0,1139721,0,0,0,0,1,0,63000,2005,156.0
115,0,1,0,1139724,0,1,0,0,0,0,126000,1999,8230.0
116,0,1,0,1139725,0,0,0,0,1,0,40000,2001,6259.0
117,0,1,0,1139727,1,0,0,0,0,0,29000,2001,1294.0
118,0,1,0,1139732,0,0,0,0,0,1,49000,1999,8690.0
119,0,0,1,1139733,0,0,0,0,1,0,17000,1980,6388.0
120,0,0,1,1139742,0,0,0,0,0,1,30500,1997,13372.0
121,1,0,0,1139749,0,0,1,0,0,0,16500,2001,136.0
122,0,0,1,1139763,0,0,0,1,0,0,84000,2006,2942.0
123,0,0,1,1139765,1,0,0,0,0,0,26000,2004,1785.0
124,0,1,0,1139770,0,0,0,1,0,0,45000,1998,9270.0
125,0,1,0,1139775,1,0,0,0,0,0,22000,1999,2044.0
126,0,0,0,1139776,1,0,0,0,0,0,19500,1998,3269.0
127,0,1,0,1139778,0,0,0,1,0,0,15000,2005,836.0
128,0,1,0,1139780,0,0,0,0,0,1,94000,2002,3026.0
129,0,1,0,1139787,0,1,0,0,0,0,47000,2001,7091.0
130,0,1,0,1139789,1,0,0,0,0,0,24000,2000,3122.0
131,0,1,0,1139790,0,0,0,1,0,0,66000,2004,4659.0
132,0,0,0,1139792,0,0,1,0,0,0,12500,2001,188.0
133,0,1,0,1139810,0,0,0,0,1,0,41000,2003,1617.0
134,0,0,1,1139811,0,0,0,1,0,0,14000,1989,1336.0
135,0,0,0,1139813,1,0,0,0,0,0,27500,2002,7861.0
136,0,0,0,1139814,1,0,0,0,0,0,32000,1998,3637.0
137,0,1,0,1139815,1,0,0,0,0,0,25500,1997,5678.0
138,0,1,0,1139816,0,0,0,1,0,0,27000,2004,2590.0
139,0,1,0,1139818,0,0,0,0,1,0,29000,2001,3059.0
140,0,1,0,1139820,0,0,0,0,1,0,37000,2002,6197.0
141,0,0,1,1139823,0,0,0,0,1,0,12000,1980,3985.0
142,0,1,0,1139826,0,0,0,1,0,0,76000,2002,5657.0
143,0,1,0,1139834,0,0,0,0,1,0,39000,1997,13305.0
144,0,0,1,1139839,1,0,0,0,0,0,31000,2001,2578.0
145,0,0,1,1139841,0,0,0,0,1,0,66000,1993,13048.0
146,0,1,0,1139853,0,0,0,1,0,0,17000,2006,51.0
147,0,1,0,1139863,0,0,1,0,0,0,14000,2006,844.0
148,0,1,0,1139877,0,0,1,0,0,0,10000,2004,2178.0
149,0,0,0,1139879,0,0,1,0,0,0,11000,2006,2537.0
150,0,1,0,1139883,0,0,0,1,0,0,43000,2005,906.0
151,0,0,1,1139886,0,0,0,0,0,1,60000,2004,1614.0
152,0,0,0,1139891,1,0,0,0,0,0,27000,2001,5268.0
153,0,1,0,1139896,0,0,0,1,0,0,23500,2006,8.0
154,0,1,0,1139907,1,0,0,0,0,0,31500,2001,1012.0
155,0,1,0,1139909,1,0,0,0,0,0,22500,2000,3537.0
156,0,0,0,1139916,0,0,0,0,1,0,127000,1998,7190.0
157,0,1,0,1139917,1,0,0,0,0,0,21500,2000,1314.0
158,0,1,0,1139920,0,0,0,0,1,0,27500,2000,890.0
159,0,1,0,1139922,0,0,0,1,0,0,36000,2002,2743.0
160,0,0,1,1139923,1,0,0,0,0,0,36000,2001,2401.0
161,0,1,0,1139924,0,0,0,1,0,0,20500,2000,1380.0
162,0,0,1,1139927,0,0,1,0,0,0,13000,2007,1034.0
163,1,0,0,1139939,0,0,1,0,0,0,14000,2001,1204.0
164,0,0,0,1139945,0,0,0,0,1,0,32500,1996,2578.0
165,0,1,0,1139950,0,0,0,1,0,0,19000,2005,2300.0
166,0,0,1,1139953,0,0,0,1,0,0,31000,2006,2657.0
167,0,0,1,1139954,0,0,0,0,0,1,61000,1989,29374.0
168,0,1,0,1139957,0,0,1,0,0,0,12500,2004,555.0
169,0,1,0,1139960,0,0,0,1,0,0,40000,2005,3707.0
170,0,1,0,1139962,0,0,0,0,1,0,48000,2005,721.0
171,0,0,0,1139964,0,0,1,0,0,0,17000,2003,642.0
172,0,0,1,1139965,1,0,0,0,0,0,26500,2005,2493.0
173,0,1,0,1139969,0,0,0,0,0,1,27000,1979,7456.0
174,0,1,0,1139977,0,0,0,1,0,0,10000,2002,3295.0
175,1,0,0,1139978,0,0,0,1,0,0,102000,2005,2848.0
176,0,1,0,1139980,0,0,0,1,0,0,15500,2005,400.0
177,0,1,0,1139982,0,0,0,1,0,0,56000,2002,1505.0
178,0,0,1,1139994,1,0,0,0,0,0,38000,2002,2551.0
179,0,1,0,1139997,0,0,0,0,1,0,82000,2002,5494.0
180,0,1,0,1140003,0,0,0,0,1,0,27000,1997,6658.0
181,0,1,0,1140009,0,0,0,0,0,1,46000,1998,12785.0
182,0,0,0,1140013,0,1,0,0,0,0,46000,1998,5813.0
183,0,1,0,1140018,0,0,0,0,1,0,28500,1998,2585.0
184,0,1,0,1140025,0,0,1,0,0,0,9500,2004,1079.0
185,0,1,0,1140027,0,0,1,0,0,0,12500,2000,1030.0
186,0,0,0,1140030,0,0,0,1,0,0,18000,2005,97.0
187,0,1,0,1140033,0,0,0,1,0,0,53000,2000,5525.0
188,0,0,1,1140038,0,0,0,1,0,0,25500,1997,1121.0
189,1,0,0,1140049,0,0,0,1,0,0,33000,1995,5468.0
190,0,0,1,1140051,0,0,0,1,0,0,34000,2004,1843.0
191,1,0,0,1140055,0,0,1,0,0,0,12500,2002,1703.0
192,0,1,0,1140058,0,0,1,0,0,0,9750,2000,1813.0
193,0,0,0,1140065,0,0,0,0,1,0,30000,2003,3272.0
194,0,0,0,1140066,0,0,0,0,0,1,26500,1976,2571.0
195,1,0,0,1140068,1,0,0,0,0,0,36000,2002,4231.0
196,0,0,1,1140075,0,0,0,1,0,0,99000,2006,422.0
197,0,1,0,1140077,0,0,0,0,1,0,29000,1999,2914.0
198,0,1,0,1140081,0,0,0,1,0,0,85000,2005,1187.0
199,0,0,0,1140084,0,0,0,0,1,0,24500,1992,2963.0
