,SalesID,SalePrice,YearMade,MachineHoursCurrentMeter
0,1139246,66000,2004,68.0
1,1139248,57000,1996,4640.0
2,1139249,10000,2001,2838.0
3,1139251,38500,2001,3486.0
4,1139253,11000,2007,722.0
5,1139255,26500,2004,508.0
6,1139256,21000,1993,11540.0
7,1139261,27000,2001,4883.0
8,1139272,21500,2008,302.0
10,1139278,24000,2004,1414.0
11,1139282,22500,1998,2764.0
13,1139284,30500,2001,1921.0
14,1139290,28000,2004,320.0
15,1139291,19000,1999,2450.0
16,1139292,13500,1999,1972.0
18,1139301,12500,2001,994.0
19,1139304,11500,1991,8005.0
20,1139311,41000,2000,3259.0
22,1139344,26000,2005,109.0
23,1139346,73000,1996,17033.0
24,1139348,33000,2001,1877.0
25,1139351,12500,2003,1028.0
26,1139354,15500,2003,356.0
28,1139357,46000,2004,904.0
29,1139358,89000,1998,10466.0
30,1139363,51000,1999,15633.0
31,1139365,14000,2001,2097.0
32,1139367,31500,1995,7542.0
34,1139379,18500,2004,587.0
37,1139398,20500,2001,765.0
40,1139412,39000,2006,1125.0
41,1139413,58000,2001,2425.0
42,1139415,15500,1996,5396.0
43,1139418,7750,2001,678.0
44,1139421,32000,2000,3817.0
45,1139423,11500,2003,1788.0
47,1139426,75000,1996,8270.0
48,1139429,5500,2001,2128.0
49,1139432,28500,2003,1457.0
50,1139445,35500,1998,764.0
51,1139449,11500,2002,2026.0
52,1139450,35500,2003,5383.0
53,1139451,30000,1998,3186.0
55,1139456,33000,2002,4032.0
56,1139457,9500,2001,3576.0
57,1139459,8500,2005,1290.0
58,1139461,19000,2005,1498.0
59,1139463,37000,2006,11121.0
60,1139464,51000,2001,9052.0
62,1139469,23000,1998,9987.0
63,1139473,30500,2000,1894.0
65,1139479,12000,2006,649.0
67,1139481,29000,2005,2032.0
68,1139482,102000,1998,8175.0
69,1139484,35000,2002,8421.0
70,1139487,33500,1999,2413.0
71,1139488,53000,1998,4723.0
72,1139489,30000,1998,3032.0
73,1139490,39000,2005,3511.0
74,1139493,15000,2006,242.0
75,1139496,70000,2006,953.0
76,1139501,7500,1999,1971.0
77,1139502,13000,2004,2565.0
78,1139508,44000,2001,5646.0
79,1139512,26000,2002,7793.0
80,1139513,67000,2005,8281.0
82,1139515,33000,2002,1268.0
83,1139518,12000,2006,701.0
84,1139519,52000,1998,4841.0
85,1139526,33000,2003,761.0
86,1139528,50000,1998,7345.0
88,1139532,36000,1996,24794.0
91,1139539,21000,1995,244.0
92,1139540,25000,1998,6718.0
95,1139543,25500,1996,1056.0
96,1139545,17500,2001,350.0
97,1139546,64000,2002,5516.0
99,1139550,27000,2000,2842.0
100,1139555,12000,2000,1231.0
101,1139556,16000,2004,1085.0
102,1139558,66000,2004,1976.0
105,1139564,19500,2000,210.0
106,1139567,42000,1995,4218.0
107,1139568,32000,1996,13582.0
108,1139572,16000,1998,2877.0
109,1139575,8500,2005,2804.0
110,1139579,15500,1992,203.0
111,1139583,83000,1995,2347.0
113,1139589,11500,2002,1502.0
114,1139592,29500,1998,5126.0
115,1139594,45000,2005,3724.0
116,1139595,15500,2000,659.0
118,1139598,18000,1993,7339.0
123,1139622,65000,2004,2388.0
124,1139623,9700,2008,22.0
125,1139629,25500,2004,3182.0
126,1139635,10500,2006,917.0
128,1139645,24500,2005,1045.0
129,1139647,44000,2005,4725.0
130,1139651,39000,2006,6484.0
131,1139652,60000,1988,6386.0
133,1139658,25500,2000,2083.0
134,1139660,27000,2005,1776.0
135,1139663,27000,2002,1656.0
137,1139666,20000,1997,5598.0
139,1139680,9500,2002,3484.0
140,1139681,14500,2005,1526.0
141,1139683,10500,2004,2260.0
142,1139688,54000,2004,1897.0
143,1139692,46000,2000,2364.0
145,1139706,16000,1971,804.0
146,1139707,28000,2002,3001.0
148,1139712,22000,2000,7862.0
149,1139713,40000,1978,3276.0
150,1139715,16000,2000,8904.0
151,1139718,19500,1996,6576.0
152,1139721,63000,2005,156.0
155,1139724,126000,1999,8230.0
156,1139725,40000,2001,6259.0
157,1139727,29000,2001,1294.0
158,1139732,49000,1999,8690.0
159,1139733,17000,1980,6388.0
160,1139742,30500,1997,13372.0
161,1139749,16500,2001,136.0
164,1139763,84000,2006,2942.0
165,1139765,26000,2004,1785.0
166,1139770,45000,1998,9270.0
168,1139775,22000,1999,2044.0
169,1139776,19500,1998,3269.0
170,1139778,15000,2005,836.0
171,1139780,94000,2002,3026.0
172,1139787,47000,2001,7091.0
173,1139789,24000,2000,3122.0
174,1139790,66000,2004,4659.0
176,1139792,12500,2001,188.0
178,1139810,41000,2003,1617.0
179,1139811,14000,1989,1336.0
180,1139813,27500,2002,7861.0
181,1139814,32000,1998,3637.0
182,1139815,25500,1997,5678.0
183,1139816,27000,2004,2590.0
184,1139818,29000,2001,3059.0
185,1139820,37000,2002,6197.0
186,1139823,12000,1980,3985.0
187,1139826,76000,2002,5657.0
189,1139834,39000,1997,13305.0
191,1139839,31000,2001,2578.0
192,1139841,66000,1993,13048.0
193,1139853,17000,2006,51.0
194,1139863,14000,2006,844.0
196,1139877,10000,2004,2178.0
197,1139879,11000,2006,2537.0
198,1139883,43000,2005,906.0
200,1139886,60000,2004,1614.0
201,1139891,27000,2001,5268.0
202,1139896,23500,2006,8.0
203,1139907,31500,2001,1012.0
204,1139909,22500,2000,3537.0
205,1139916,127000,1998,7190.0
206,1139917,21500,2000,1314.0
207,1139920,27500,2000,890.0
208,1139922,36000,2002,2743.0
209,1139923,36000,2001,2401.0
210,1139924,20500,2000,1380.0
211,1139927,13000,2007,1034.0
212,1139939,14000,2001,1204.0
213,1139945,32500,1996,2578.0
214,1139950,19000,2005,2300.0
215,1139953,31000,2006,2657.0
216,1139954,61000,1989,29374.0
217,1139957,12500,2004,555.0
219,1139960,40000,2005,3707.0
220,1139962,48000,2005,721.0
221,1139964,17000,2003,642.0
